SHAPE_AREA,US_ACT2021,DES_US2021,DES_ES2021,UNION,NOMBRE_PARQUE,DIRECCION,SECTOR,CATEGORIA,UBICACION,ACCESO,TIPOLOGIA,,LONG,LAT
7858.975477,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,1114,UNIDAD SAN PEDRO,UNIDAD HABITACIONAL SAN PEDRO ZINC Y 20 DE NOVIEMBRE,K1,RECREATIVO,ÃREA PÃšBLICA,ABIERTO,parque lineal,,25.68475698,-100.4066554
11678.8478,EU,EQUIPAMIENTO URBANO,IGLESIA Y PARQUE,1272,PARQUE LA RETAMA,"COLONIA VISTA MONTAÃ‘A, EMILIANO ZAPATA Y MIGUEL ALEMAN",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,parque de barrio,,25.68040186,-100.4071316
1398.312884,EU,EQUIPAMIENTO URBANO,TANQUE DE AGUA,1296,PARQUE MANUEL RIVERA,"COLONIA EL OBISPO , MANUEL RIVERA ANAYA Y JUAN SARABIA",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,parque urbano,,25.68011251,-100.4008022
1107.127025,EU,EQUIPAMIENTO URBANO,ALBERGUE,1359,JESUS M. GARZA EN MORONES PRIETO,COLONIA JESUS M. GARZA Y AV. MORONES PRIETO,K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,parque de bolsillo,,25.66910004,-100.4241881
7826.263496,EU,EQUIPAMIENTO URBANO,PARQUE AMANECER,1398,PARQUE AMANECER,"COLONIA EL OBISPO , EULALIO GUZMAN Y ANDADOR CORREGIDORA",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,parque urbano,,25.67925006,-100.4016691
,,,,,,,,,,,,,,
,,,,,Mariana,,,,,,,,,
,,,,,Mario,,,,,,,,,
,,,,,Katia,,,,,,,,,
,,,,,Miguel,,,,,,,,,
